Designator,Mid X,Mid Y,Rotation,Layer
C1,-22.0,-4.0,270.0,bottom
C10,-17.5,1.5,180.0,top
C11,-15.0,11.0,90.0,bottom
C12,-7.9,-4.6,180.0,top
C13,2.1125,-30.25,180.0,top
C14,1.2875,-15.75,0.0,top
C15,-12.5,-14.1375,90.0,top
C16,0.75,-23.952,0.0,top
C17,-13.0,-1.5,270.0,top
C18,2.4625,1.5,180.0,top
C19,4.5,11.0,90.0,bottom
C2,23.33,-27.975,0.0,bottom
C20,9.4,-4.6,180.0,top
C21,26.0,-1.5,270.0,top
C22,21.25,1.5,180.0,top
C23,23.5,11.0,90.0,bottom
C24,28.0,-4.4375,90.0,top
C25,3.75,25.775,270.0,top
C26,7.9125,-15.75,0.0,top
C27,-5.0,25.775,270.0,top
C28,31.5,25.2174,270.0,top
C29,7.9125,-12.75,0.0,top
C3,-22.0,-8.0,90.0,bottom
C30,23.5,25.75,270.0,top
C31,29.4,-9.5,180.0,top
C32,19.5,-13.743604,0.0,top
C4,23.33,-32.975,0.0,bottom
C5,5.39,-0.695,90.0,bottom
C6,-28.5,24.75,180.0,top
C7,-28.5,13.65,180.0,top
C8,-28.5,2.5,180.0,top
C9,8.1,-0.8,0.0,top
D1,29.25,-30.75,0.0,top
D2,-21.6,-33.5,90.0,top
D3,-20.0,-33.5,90.0,top
D4,-6.75,33.375,270.0,top
ENC1,-26.1,-12.5,270.0,top
FB1,1.2875,-17.75,180.0,top
J1,31.28,-20.055,90.0,top
J2,20.04,-21.96,270.0,top
OUT1,10.0,21.5,0.0,top
POWER1,-17.25,20.5,0.0,top
Q1,-11.2976,7.3,270.0,top
Q2,-12.0,14.25,0.0,top
Q3,8.2024,7.305,270.0,top
Q4,7.45,14.25,0.0,top
Q5,27.105,7.3,270.0,top
Q6,26.4,14.25,0.0,top
R1,-21.6,-30.0,270.0,top
R10,0.75,-25.75,0.0,top
R11,2.2,7.5,90.0,top
R12,0.3,7.5,90.0,top
R13,13.7,10.1,0.0,top
R14,16.5,11.0,90.0,top
R15,20.1,7.5,90.0,top
R16,18.2,7.5,90.0,top
R17,33.1,8.0,270.0,top
R18,33.1,4.5,270.0,top
R19,7.9125,-14.25,0.0,top
R2,-20.0,-30.0,270.0,top
R20,-0.4746,16.05135,180.0,top
R21,7.9125,-11.25,0.0,top
R22,27.5254,16.0826,180.0,top
R23,28.11,-26.305,180.0,top
R24,28.11,-27.805,180.0,top
R25,23.5,-18.906104,90.0,top
R3,-25.5,-5.0,0.0,top
R4,-25.5,-6.5,180.0,top
R5,-6.75,29.875,90.0,top
R6,-17.5,7.5,90.0,top
R7,-19.4,7.52,90.0,top
R8,-5.0,10.0,0.0,top
R9,-2.4,10.9,90.0,top
SERVO1,-6.71,-31.0,270.0,top
SW1,0.5635,-29.178,0.0,top
SWD1,-17.5,-24.85,180.0,top
U1,-29.74,-6.5,180.0,bottom
U10,18.0,-17.493604,0.0,top
U11,29.11,-12.305,180.0,top
U2,14.915,-30.5,180.0,bottom
U3,0.0,0.0,0.0,bottom
U4,-17.0,-3.5,270.0,top
U5,-7.5,-20.0,180.0,top
U6,3.0,-3.5,270.0,top
U7,22.0,-3.5,270.0,top
U8,-0.5375,25.775,180.0,top
U9,27.5,25.75,180.0,top
Y1,0.825,-20.952,90.0,top
